"Company Name","Website","Industry","Segment","City","Region","Country","LinkedIn URL"
"Grand Tradition Estate","https://grandtradition.com","events services","Venue/Hotel","Davao City","","Philippines","http://www.linkedin.com/company/grand-tradition-estate"
"Every Nation Philippines","https://everynation.org.ph","religious institutions","Venue (Religious)","Paranaque","Metro Manila","Philippines","http://www.linkedin.com/company/everynationph"
"Stratworks","https://stratworks.ph","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/stratworks-inc"
"Villa Milagros Events Venue","https://villamilagros.com","events services","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/villa-milagros-events-venue"
"TA-FBDI Advertising","https://ta-fbdi.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/themeactive-fbdi"
"Bridges PR","https://bridges.ph","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/bridges-pr"
"Bull.ish Launch Agency","https://bullish.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/bullish-launch-agency"
"AWC Philippines","https://awc.com.ph","food & beverages","F&B/Hospitality Support","","","Philippines","http://www.linkedin.com/company/awcph"
"GeengerGrp, Inc.","https://geenger.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/geengergrp"
"Wishcraft Group of Companies","https://wishcraft.com.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/wishcraft-creative-affairs-team-inc."
"Grupo Agatep","https://grupoagatep.com","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/grupoagatepmanila"
"The Ortus Club","https://ortusclub.com","events services","Event Agency","Bacoor","Calabarzon","Philippines","http://www.linkedin.com/company/ortus-club"
"SAGA PH","https://saga-ph.com","professional training & coaching","Other (Non-Event Core)","Mandaluyong","","Philippines","http://www.linkedin.com/company/saga-ph"
"Edsa Shangri-La, Manila","https://shangri-la.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/edsashangrila"
"AvePoint","https://avepoint.com","information technology & services","Other","Makati City (Metro Manila)","Metro Manila","Philippines","http://www.linkedin.com/company/avepoint"
"Ke. Creative Events Pty Ltd","https://kecreative.com.au","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/kentera-events"
"The Conference Group","https://eventsmate.com.au","events services","Event Agency","Quezon City","","Philippines","http://www.linkedin.com/company/eventsmate"
"AIBC World","https://aibc.world","events services","Event Agency","","","Russia","http://www.linkedin.com/company/aibc-world"
"Corzly","https://corzly.com","hospitality","Event Tech/Platform","","","Philippines","http://www.linkedin.com/company/corzly"
"Marriott Manila","https://manilamarriott.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/marriott-hotel-manila"
"Araw Hospitality Group","https://arawhospitalitygroup.com","hospitality","Other","","","Philippines","http://www.linkedin.com/company/travelwitharaw"
"Hospitality Innovators, Inc.","https://hii.com.ph","hospitality","Hospitality Services","","","Philippines","http://www.linkedin.com/company/hospitality-innovators-inc"
"Grand Westside Manila Bay","https://grandwestsidemanila.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/grand-westside-hotel"
"The Lind Hotels","https://thelindhotels.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/the-lind-hotels-and-resorts"
"Team One Group","https://teamone.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/teamoneph"
"Steady Rise Advertising Inc.","https://sra.com.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/steady-rise-advertising-inc"
"Sunlight Hotels & Resorts","https://sunlighthotelsandresorts.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/sunlight-hotels-and-resorts"
"Clutch","https://clutchgroup.co","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/we-are-clutch"
"NuWorks Interactive Labs, Inc.","https://nuworks.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/nuworksph"
"Freelance Event/Project Manager","https://bluesparkph.com","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/freelance-event-projects-manager"
"EFOGI (Entrepreneurs Focused on Growth)","https://efogi.com","events services","Event Agency","Quezon City","","Philippines","http://www.linkedin.com/company/efogi"
"M&SE","https://mse.events","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/m-se"
"The Heritage Hotel Manila","https://millenniumhotels.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/the-heritage-hotel-manila-philippines"
"Shangri-La Group","https://shangri-la.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/shangri-la-hotels-and-resorts"
"New World Makati Hotel","https://manila.newworldhotels.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/new-world-makati"
"IT & Business Process Association of the Philippines, Inc. (IBPAP)","https://ibpap.org","information technology & services","Other","","","Philippines","http://www.linkedin.com/company/ibpap"
"NUSTAR Resort","https://nustar.ph","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/nustar-resort-and-casino"
"Guestable","https://guestable.com","hospitality","Event Tech/Platform","","","Philippines","http://www.linkedin.com/company/guestable"
"Tier One Entertainment","https://tier.one","entertainment","Entertainment","","","Philippines","http://www.linkedin.com/company/tieroneentertainment"
"MVP Visuals","https://mvpvisuals.com","marketing & advertising","PR/Marketing Agency","Cabuyao City","Calabarzon","Philippines","http://www.linkedin.com/company/mvp-visuals"
"Hacking HR","https://hackinghrlab.io","human resources","Other (Non-Event Core)","Cainta","Calabarzon","Philippines","http://www.linkedin.com/company/hacking-hr"
"Clark Marriott Hotel","https://marriott.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/clarkmarriott"
"BoomPop","https://boompop.com","information technology & services","Event Tech/Platform","San Jose del Monte City","","Philippines","http://www.linkedin.com/company/boompop"
"TNC Group","https://tnc.com.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/tncgroupofcompanies"
"Holland America Line","https://hollandamerica.com","leisure, travel & tourism","Travel/Tourism","Quezon City","Metro Manila","Philippines","http://www.linkedin.com/company/holland-america-line"
"Casago","https://casago.com","hospitality","Other","","","United States","http://www.linkedin.com/company/casagoproperties"
"Little Caesars Pizza","https://littlecaesars.com","food & beverages","F&B/Hospitality Support","Tanay","Calabarzon","Philippines","http://www.linkedin.com/company/little-caesars"
"Philippine Wine Merchants","https://pwm.com.ph","food & beverages","F&B/Hospitality Support","","","Philippines","http://www.linkedin.com/company/philippinewinemerchants"
"EAB","https://eab.com","education management","Other (Non-Event Core)","Davao City","Davao Region","Philippines","http://www.linkedin.com/company/eab-"
"Enso Connect 🔵","https://ensoconnect.com","hospitality","Event Tech/Platform","Quezon City","","Philippines","http://www.linkedin.com/company/enso-connect"
"Bonifacio Art Foundation, Inc.","https://themindmuseum.org","nonprofit organization management","Venue (Cultural)","Cabuyao City","Calabarzon","Philippines","http://www.linkedin.com/company/bonifacio-art-foundation-inc"
"TRIBE - Travel & Events","https://tribe-group.com.au","leisure, travel & tourism","Event Agency","Paniqui","Central Luzon","Philippines","http://www.linkedin.com/company/tribe-travel-events"
"People Management Association of the Philippines","https://pmap.org.ph","human resources","Other (Non-Event Core)","Makati","Metro Manila","Philippines","http://www.linkedin.com/company/pmap"
"Aman","https://aman.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/amanresorts"
"RedTorch Communications","https://redtorch.ph","public relations & communications","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/redtorch-communications"
"RUNRIO Inc.","https://runrio.com","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/runrio"
"Fireworks Trade Media Group","https://asiafireworks.com","events services","Event Agency","Pasig","Metro Manila","Philippines","http://www.linkedin.com/company/fireworkstrademedia"
"Mercure Mactan Cebu","https://belmontmactan.com.ph","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/belmont-hotel-mactan"
"TAG Resort Coron","https://tagresorts.com.ph","hospitality","Venue/Hotel","Antipolo","","Philippines","http://www.linkedin.com/company/tag-resort-coron"
"SiGMA World","https://sigma.world","events services","Event Agency","","","Philippines","http://www.linkedin.com/company/sigma-world"
"Ideascape MNL","https://ideascapemnl.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/ideascape-mnl"
"Entertainment Company","https://entertainmentcompany.nl","entertainment","Entertainment","Pasig City (Metro Manila)","Metro Manila","Philippines","http://www.linkedin.com/company/entertainmentcompany"
"Golden Pencil","https://goldenpencil.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/goldenpencil"
"Venuespring","https://venuespring.com","internet","Event Tech/Platform","","","Philippines","http://www.linkedin.com/company/venuespring"
"Paint it Red PR Solutions Inc","https://paintitred.com.ph","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/paintitred"
"Partnership Leaders","https://partnershipleaders.com","management consulting","Other (Non-Event Core)","Paniqui","Calabarzon","Philippines","http://www.linkedin.com/company/partnershipleaders"
"Mash Staffing Australia","https://mashstaffing.com.au","events services","Event Agency","Mexico","","Philippines","http://www.linkedin.com/company/mashstaffingau"
"Megaworld Hotels & Resorts","https://megaworldhotels.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/megaworld-hotels-resorts"
"KreativDen","https://kreativden.com","marketing & advertising","PR/Marketing Agency","","","Philippines","http://www.linkedin.com/company/kreativden-enterprise-inc"
"Crimson Hotel Filinvest City, Manila","https://crimsonhotel.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/crimson-hotel-filinvest-city-manila"
"NAY PALAD Hideaway","https://naypaladhideaway.com","hospitality","Venue/Hotel","","","Portugal","http://www.linkedin.com/company/nay-palad-hideaway"
"Kingsford Hotel Manila","https://kingsfordmanila.com","hospitality","Venue/Hotel","","","Philippines","http://www.linkedin.com/company/kingsfordhotelmanila"
